店名,地址,電話,營業時間,Google評價,菜單圖片,,,,
Dish早餐屋,106台灣台北市大安區復興南路二段305號,02 8732 4331,"['Monday: 6:00 AM – 1:00 PM', 'Tuesday: 5:45 AM – 1:00 PM', 'Wednesday: 6:00 AM – 12:30 PM', 'Thursday: 5:45 AM – 1:00 PM', 'Friday: 5:45 AM – 1:00 PM', 'Saturday: 5:45 AM – 12:30 PM', 'Sunday: 5:45 AM – 12:30 PM']",4.6,,,,,
Prozac Balcony 百憂解陽台,106台灣台北市大安區復興南路二段309號,02 2377 1118,"['Monday: 8:00 PM – 2:00 AM', 'Tuesday: 8:00 PM – 2:00 AM', 'Wednesday: 8:00 PM – 2:00 AM', 'Thursday: 8:00 PM – 2:00 AM', 'Friday: 8:00 PM – 3:00 AM', 'Saturday: 8:00 PM – 3:00 AM', 'Sunday: 8:00 PM – 2:00 AM']",4.5,https://lh3.googleusercontent.com/p/AF1QipP9QmMBej5yPPL7YbR1xZEDhAe5nzrrl2pFoNBi=h400-no,,,,
寶飽的店,106 台灣台北市大安區復興南路二段313號,02 2738 5949,"['Monday: 6:00 AM – 2:30 PM', 'Tuesday: 6:00 AM – 2:30 PM', 'Wednesday: 6:00 AM – 2:30 PM', 'Thursday: 6:00 AM – 2:30 PM', 'Friday: 6:00 AM – 2:30 PM', 'Saturday: 6:00 AM – 2:30 PM', 'Sunday: Closed']",4.4,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/71181935_2559730824121939_4867561534059970560_n.jpg?_nc_cat=110&ccb=2&_nc_sid=8bfeb9&_nc_ohc=Yd_JQfEEyf4AX94FeIq&_nc_ht=scontent-tpe1-1.xx&oh=fa0c3c76562c950ab99e1b6944a00419&oe=5FC5F05B,,,,
樂町屋,106台灣台北市大安區,02 2736 7335,,2.4,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/52875355_1217788225062504_310643551316738048_n.jpg?_nc_cat=110&ccb=2&_nc_sid=730e14&_nc_ohc=tvkV1jlw518AX-mOVwc&_nc_ht=scontent-tpe1-1.xx&oh=324c6af0cf2ecf0ee2c4e8ba66919a4f&oe=5FC5A025,,,,
阿英海產粥,106台灣台北市大安區復興南路二段268號,0917 627 433,"['Monday: 11:00 AM – 1:30 PM, 4:30 – 11:00 PM', 'Tuesday: 11:00 AM – 1:30 PM, 4:30 – 11:00 PM', 'Wednesday: 11:00 AM – 1:30 PM, 4:30 – 11:00 PM', 'Thursday: 11:00 AM – 1:30 PM, 4:30 – 11:00 PM', 'Friday: 11:00 AM – 1:30 PM, 4:30 – 11:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.2,https://aniseblog.tw/wp-content/uploads/2018/10/1540636545-fa7595bd51f164bdbf10dc57a3e24e9f.jpg,,,,
發芽吧 Sprouting Bar,106台灣台北市大安區復興南路二段341號,02 2736 7968,"['Monday: 9:30 AM – 8:30 PM', 'Tuesday: 9:30 AM – 8:30 PM', 'Wednesday: 9:30 AM – 8:30 PM', 'Thursday: 9:30 AM – 8:30 PM', 'Friday: 9:30 AM – 8:30 PM', 'Saturday: 10:30 AM – 6:30 PM', 'Sunday: Closed']",5,https://scontent-tpe1-1.xx.fbcdn.net/v/t31.0-8/12628396_228861150786899_1012804621454565410_o.jpg?_nc_cat=100&ccb=2&_nc_sid=9267fe&_nc_ohc=3DNC_ThLFTUAX9K9D4L&_nc_ht=scontent-tpe1-1.xx&oh=0b62c574a466cbd271d263ea7c893819&oe=5FC507DC,,,,
Mr.Smile 好吃雞排,106台灣台北市大安區復興南路二段349號,0980 232 039,"['Monday: 3:00 PM – 12:00 AM', 'Tuesday: 3:00 PM – 12:00 AM', 'Wednesday: 3:00 PM – 12:00 AM', 'Thursday: 3:00 PM – 12:00 AM', 'Friday: 3:00 PM – 12:00 AM', 'Saturday: 3:00 PM – 12:00 AM', 'Sunday: Closed']",4.3,https://1.bp.blogspot.com/-eFPMXS1VQWQ/XWm-ZMfIuLI/AAAAAAAAFLY/PmDRCqZR1ZUmaam50DUSET_90kMoH4asQCLcBGAs/s640/%25E5%25A5%25BD%25E5%2590%2583%25E9%259B%259E%25E6%258E%2592.JPG,,,,
全國食養健康素食自助餐 大安復興店,106台灣台北市大安區復興南路二段314號,02 2736 1168,"['Monday: 10:30 AM – 2:00 PM, 4:30 – 8:00 PM', 'Tuesday: 10:30 AM – 2:00 PM, 4:30 – 8:00 PM', 'Wednesday: 10:30 AM – 2:00 PM, 4:30 – 8:00 PM', 'Thursday: 10:30 AM – 2:00 PM, 4:30 – 8:00 PM', 'Friday: 10:30 AM – 2:00 PM, 4:30 – 8:00 PM', 'Saturday: 10:30 AM – 2:00 PM, 4:30 – 8:00 PM', 'Sunday: 10:30 AM – 2:00 PM, 4:30 – 8:00 PM']",3.9,,,,,
胖老爹 復興南路店,106台灣台北市大安區復興南路二段333號,02 2377 0335,"['Monday: 4:00 – 11:00 PM', 'Tuesday: 4:00 – 11:00 PM', 'Wednesday: 4:00 – 11:00 PM', 'Thursday: 4:00 – 11:00 PM', 'Friday: 4:00 – 11:00 PM', 'Saturday: 4:00 – 11:00 PM', 'Sunday: 4:00 – 11:00 PM']",4,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/62144085_2232486453508942_6266801534806261760_n.jpg?_nc_cat=101&ccb=2&_nc_sid=8024bb&_nc_ohc=_Rhtrvdqg28AX9fP2Z8&_nc_ht=scontent-tpe1-1.xx&oh=298a26d52d0b20158e054768b58001e2&oe=5FC2D165,,,,
點亮咖啡,106台灣台北市大安區復興南路二段332號,02 2736 9282,"['Monday: 12:00 – 7:00 PM', 'Tuesday: 12:00 – 7:00 PM', 'Wednesday: 12:00 – 7:00 PM', 'Thursday: 12:00 – 7:00 PM', 'Friday: 12:00 – 7:00 PM', 'Saturday: 12:00 – 7:00 PM', 'Sunday: 12:00 – 7:00 PM']",4.4,https://pic.pimg.tw/rick2012/1598961491-2839932998-g_n.jpg,https://pic.pimg.tw/rick2012/1598961489-506070481-g_n.jpg,,,
麥味登(北市復興店),106台灣台北市大安區復興南路二段377號,02 2736 2069,"['Monday: Closed', 'Tuesday: 6:30 AM – 2:30 PM', 'Wednesday: 6:30 AM – 2:30 PM', 'Thursday: 6:30 AM – 2:30 PM', 'Friday: 6:30 AM – 2:30 PM', 'Saturday: 6:30 AM – 2:30 PM', 'Sunday: 7:00 AM – 2:30 PM']",3.8,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/55786278_1121842881331839_8303987510657155072_o.jpg?_nc_cat=100&ccb=2&_nc_sid=730e14&_nc_ohc=00Zht1NhbF4AX-zoRor&_nc_ht=scontent-tpe1-1.xx&oh=38ffb8aedee19a98cf1aacf8eaf98743&oe=5FC4A303,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/54514795_1121842861331841_3373344456186003456_o.jpg?_nc_cat=107&ccb=2&_nc_sid=730e14&_nc_ohc=G3953BtevF4AX_DdPJb&_nc_oc=AQkTIil7shlthQ34qRLf5XexsC863pu_Z-wTJAhcNVkQdiTpSrxlwazW8VxXwhDp81k&_nc_ht=scontent-tpe1-1.xx&oh=44ab263402a7a0082c7b42b3b67c5670&oe=5FC4A413,,,
芝加哥比薩,106台灣台北市大安區復興南路二段379號,02 2707 2121,"['Monday: 11:00 AM – 8:00 PM', 'Tuesday: 11:00 AM – 8:00 PM', 'Wednesday: 11:00 AM – 8:00 PM', 'Thursday: 11:00 AM – 8:00 PM', 'Friday: 11:00 AM – 8:00 PM', 'Saturday: 11:00 AM – 8:00 PM', 'Sunday: 11:00 AM – 8:00 PM']",4.4,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/80642398_2204571836513352_354115814422478848_o.jpg?_nc_cat=100&ccb=2&_nc_sid=e3f864&_nc_ohc=_d7loHvmHakAX8l8aJa&_nc_ht=scontent-tpe1-1.xx&oh=3d56f98d74048f2747d0313530428b23&oe=5FC57D14,,,,
瑞榮燒臘,106台灣台北市大安區復興南路二段346號,02 2377 0708,"['Monday: 11:00 AM – 2:00 PM, 5:00 – 7:00 PM', 'Tuesday: 11:00 AM – 2:00 PM, 5:00 – 7:00 PM', 'Wednesday: 11:00 AM – 2:00 PM, 5:00 – 7:00 PM', 'Thursday: 11:00 AM – 2:00 PM, 5:00 – 7:00 PM', 'Friday: 11:00 AM – 2:00 PM, 5:00 – 7:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.1,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/14370169_1708204866168991_7321055221442898376_n.jpg?_nc_cat=110&ccb=2&_nc_sid=9267fe&_nc_ohc=jXB7VSVN46cAX9wIVJQ&_nc_ht=scontent-tpe1-1.xx&oh=0e4259f6de865619b6b2ccd4ccb4d0d4&oe=5FC32C16,,,,
麵屋壹?穴 ICHI,106台灣台北市大安區延吉街137巷22號,02 2711 4319,"['Monday: Closed', 'Tuesday: 11:30 AM – 3:00 PM, 5:30 – 9:00 PM', 'Wednesday: 11:30 AM – 3:00 PM, 5:30 – 9:00 PM', 'Thursday: 11:30 AM – 3:00 PM, 5:30 – 9:00 PM', 'Friday: 11:30 AM – 3:00 PM, 5:30 – 9:00 PM', 'Saturday: 11:30 AM – 3:00 PM, 5:30 – 9:00 PM', 'Sunday: 11:30 AM – 3:00 PM, 5:30 – 9:00 PM']",4.2,https://img.tenjo.tw/pixnet/7edcd60999c189234f28f86b71657530.jpg,,,,
壹之穴沾麵專門店,106台灣台北市大安區復興南路二段350號,02 2377 6326,"['Monday: 12:00 – 2:00 PM, 5:00 – 8:00 PM', 'Tuesday: 12:00 – 2:00 PM, 5:00 – 8:00 PM', 'Wednesday: 12:00 – 2:00 PM, 5:00 – 8:00 PM', 'Thursday: 12:00 – 2:00 PM, 5:00 – 8:00 PM', 'Friday: 12:00 – 2:00 PM, 5:00 – 8:00 PM', 'Saturday: 12:00 – 2:00 PM, 5:00 – 8:00 PM', 'Sunday: Closed']",4.3,https://pic.pimg.tw/jrrawlin/1577540415-1917833812_n.jpg,,,,
七里亭茶食館,106台灣台北市大安區瑞安街136號,02 2701 7727,"['Monday: Closed', 'Tuesday: 11:00 AM – 3:00 PM, 5:00 – 9:00 PM', 'Wednesday: 11:00 AM – 3:00 PM, 5:00 – 9:00 PM', 'Thursday: 11:00 AM – 3:00 PM, 5:00 – 9:00 PM', 'Friday: 11:00 AM – 3:00 PM, 5:00 – 9:00 PM', 'Saturday: 11:00 AM – 3:00 PM, 5:00 – 9:00 PM', 'Sunday: 11:00 AM – 3:00 PM, 5:00 – 9:00 PM']",4.2,https://pic.pimg.tw/smoony/1510218715-3631607559.jpg,,,,
長興小舖,106台灣台北市大安區復興南路二段362號,02 2739 5777,"['Monday: 11:30 AM – 2:00 PM, 5:00 – 8:00 PM', 'Tuesday: 11:30 AM – 2:00 PM, 5:00 – 8:00 PM', 'Wednesday: 11:30 AM – 2:00 PM', 'Thursday: 11:30 AM – 2:00 PM, 5:00 – 8:00 PM', 'Friday: 11:30 AM – 2:00 PM, 5:00 – 8:00 PM', 'Saturday: 11:30 AM – 2:00 PM', 'Sunday: Closed']",3.9,https://pic.pimg.tw/guccimakeup/1177392818.jpg,,,,
享喝果汁,106台灣台北市大安區復興南路二段364號1樓,02 2737 5985,"['Monday: 8:00 AM – 9:00 PM', 'Tuesday: 8:00 AM – 9:00 PM', 'Wednesday: 8:00 AM – 9:00 PM', 'Thursday: 8:00 AM – 9:00 PM', 'Friday: 8:00 AM – 9:00 PM', 'Saturday: 10:00 AM – 6:00 PM', 'Sunday: Closed']",4.9,,,,,
